Tool / Technology,Profesia,Profession,CVOnline,Total
API management,0,2,0,2
Git versioning system,2,0,0,2
Veeva CRM,2,0,0,2
Veeva Vault CRM,0,2,0,2
Vercel,2,0,0,2
Verilog / System Verilog HDLs,0,2,0,2
Node.JS,1,1,0,2
Looker studio,2,0,0,2
Virtualization: None,2,0,0,2
Virtualizáció (VMware),0,0,2,2
VirusTotal,2,0,0,2
CodeIgniter,0,2,0,2
Visio),0,2,0,2
Visual Basic for Applications (VBA),2,0,0,2
API gateway,2,0,0,2
Looker Studio,2,0,0,2
API frameworks,0,2,0,2
CodeArts Light,2,0,0,2
API communication,2,0,0,2
NotebookLM,0,2,0,2
Git version control,2,0,0,2
API TESTING,0,2,0,2
VxWorks,0,2,0,2
W3C Verifiable Credentials,0,2,0,2
WAF,2,0,0,2
Faro,2,0,0,2
WAN,0,2,0,2
WCF,1,1,0,2
Git repositories (Bitbucket or GitHub),0,1,1,2
Git flow,2,0,0,2
WINDOWS AZURE DATABASE,0,2,0,2
Cloudwatch,2,0,0,2
API Management,0,2,0,2
Novomind,0,2,0,2
Cloudinary,2,0,0,2
NumPy,2,0,0,2
Git / GitHub,2,0,0,2
Wallix,2,0,0,2
Mapp,2,0,0,2
Web API,0,2,0,2
Web IDE,2,0,0,2
LLM models,2,0,0,2
Microsoft .NET Framework,2,0,0,2
Nuxt.js,0,2,0,2
CLOUD ACCESS SECURITY,0,2,0,2
OAuth,0,2,0,2
APACHE SPARK,0,2,0,2
Webpack/Vite,2,0,0,2
Gherkhin,2,0,0,2
Wiki.js,2,0,0,2
FortiAnalyzer,2,0,0,2
CLOUD ACCESS,0,2,0,2
Geutebrück G-Core,0,0,2,2
CloudGuard AppSec WAF,2,0,0,2
CloudFront,2,0,0,2
ANALYTICS C DYNAMICS CRM,0,2,0,2
ODI,0,2,0,2
Windows API,0,2,0,2
Windows Desktop PC,0,2,0,2
MapStruct,2,0,0,2
Genesys (Cloud or Engage),0,2,0,2
Windows Security,2,0,0,2
ALM practices,2,0,0,2
LLM,2,0,0,2
Windows Virtualizačné prostredie,2,0,0,2
Windows client and server systems,2,0,0,2
IntellijIdea,2,0,0,2
Windows server 2016-2025,2,0,0,2
Catalyst Center,2,0,0,2
WireMock,2,0,0,2
OMNeT++,0,2,0,2
Cloud platformok (Azure,0,0,2,2
WooCommerce,1,1,0,2
MICROSOFT OFFICE ISO,0,2,0,2
AI-assisted prototyping tools,0,2,0,2
Wordpress,2,0,0,2
Cloud environment,2,0,0,2
Workday Studio,2,0,0,2
Workshop (low-code),2,0,0,2
IntelliJ/Eclipse/VS Code,0,1,1,2
X-Ray Search,2,0,0,2
ONNX,1,1,0,2
Fargate,2,0,0,2
XGBoost,2,0,0,2
XLS,2,0,0,2
Cloud Spanner,0,2,0,2
XML binding,2,0,0,2
XML),0,2,0,2
AI nástroje,2,0,0,2
XSD,1,0,1,2
XSD/XML/JSON,2,0,0,2
MFA,2,0,0,2
Cloud Scope,2,0,0,2
Capacitor,2,0,0,2
Cloud Run,2,0,0,2
ZBrush,0,0,2,2
AGILE TESTING,0,2,0,2
GTM,2,0,0,2
Zapier,1,1,0,2
Zapier/Make,1,1,0,2
OS/DB migration,0,2,0,2
LIMS,0,1,1,2
MES/ERP-Systeme,0,0,2,2
Zepline,2,0,0,2
Intapp,2,0,0,2
GPT,2,0,0,2
and i.,2,0,0,2
and security-as-code everywhere,0,2,0,2
OSGi,2,0,0,2
OSS/infrastructure management tools,0,0,2,2
atomic design,0,1,1,2
avocode,2,0,0,2
OTC,2,0,0,2
batch,2,0,0,2
big data,0,2,0,2
CLICKUP,2,0,0,2
bootstrap,2,0,0,2
Keras,2,0,0,2
cloud,2,0,0,2
cloud environment CI/CD,2,0,0,2
cloud environments,2,0,0,2
cloud technologies,0,2,0,2
Kendo UI,2,0,0,2
composer,2,0,0,2
containerd,1,0,1,2
containerization (Docker/Kubernetes),2,0,0,2
css,2,0,0,2
Maestro,1,1,0,2
data structures and reporting,2,0,0,2
databases,2,0,0,2
ADOBE XD,0,2,0,2
dependency injection,2,0,0,2
disaster recovery,0,2,0,2
distributed tracing,2,0,0,2
GLPI,2,0,0,2
Office (PowerPoint,0,1,1,2
dokploy,2,0,0,2
Lombok,2,0,0,2
Office Tools,2,0,0,2
embedded systems,0,2,0,2
Microsoft Power Platform (Power Apps,0,0,2,2
CIS,2,0,0,2
Microsoft 365 (Exchange Online,2,0,0,2
firewall,2,0,0,2
firewalls,1,1,0,2
OneDrive),2,0,0,2
Clickhouse,2,0,0,2
LEAN,0,2,0,2
haproxy,2,0,0,2
helm,2,0,0,2
high availability,0,2,0,2
homeassistant,2,0,0,2
iManage Work v10,2,0,0,2
ACTIVE DIRECTORY,0,2,0,2
iOS SDK,2,0,0,2
GIS,2,0,0,2
iSCSI/FC SAN,2,0,0,2
infrastructure-as-code tools,2,0,0,2
internal systems of project management...,2,0,0,2
FTP,1,0,1,2
Mantine,2,0,0,2
ACCESS REST,0,2,0,2
jenkins,2,0,0,2
jscript/vbscript,2,0,0,2
json,2,0,0,2
ACCESS NETWORK SECURITY,0,2,0,2
k8s,1,1,0,2
level: high,0,2,0,2
log360,2,0,0,2
Open VPN,2,0,0,2
CI/CD tools (e.g. GitLab CI,2,0,0,2
GENIE 2000,2,0,0,2
Karate,2,0,0,2
GDPR CI,0,2,0,2
GCP),1,1,0,2
microservisná architektúra,2,0,0,2
midPoint,2,0,0,2
modern frontend tooling,2,0,0,2
CI/CD tooling (GitHub Actions),2,0,0,2
monitoring/logging,2,0,0,2
Maya,0,0,2,2
ABBYY,2,0,0,2
Infrastructure as Code (Terraform / OpenTofu),2,0,0,2
nmap,2,0,0,2
noSQL databases,2,0,0,2
OpenAPI/YAML,2,0,0,2
npm packages,2,0,0,2
ns-3,0,2,0,2
Microsoft Power Platforms (Power Apps,2,0,0,2
nuxt,2,0,0,2
nuxt3,2,0,0,2
OpenCL,0,2,0,2
observability,2,0,0,2
or equivalent for documentation,0,2,0,2
Fuse ESB,2,0,0,2
pfSense,1,0,1,2
FPGA,0,2,0,2
pixel perfect,2,0,0,2
pnpm,2,0,0,2
prototyping platforms,2,0,0,2
public clouds such as AWS or Azure,2,0,0,2
Functions,2,0,0,2
Cisco UCS,2,0,0,2
MS SQL Server 2022,2,0,0,2
OpenJFX,2,0,0,2
requests,2,0,0,2
responzívny dizajn,2,0,0,2
sass,2,0,0,2
OpenMP,0,2,0,2
CI/CD pipelines for frontend deployments,2,0,0,2
service mesh,0,2,0,2
setuptools/poetry/uv,2,0,0,2
Kubernetes Clusters,0,2,0,2
software and/or data analytics,0,2,0,2
swagger,2,0,0,2
syslog,2,0,0,2
thingsboard,2,0,0,2
tools for resource management,2,0,0,2
typescript,2,0,0,2
tűzfalak,0,0,2,2
vCenter,2,0,0,2
vmware,2,0,0,2
vue 3,2,0,0,2
CI/CD pipelines for data solutions,2,0,0,2
vulnerability scanners,1,1,0,2
web application security,0,2,0,2
@SAP. MACHINE LEARNING EXCEL,0,2,0,2
web-testing frameworks,2,0,0,2
CI/CD pipelines (GitLab),0,2,0,2
webhooks,2,0,0,2
webovými služby REST/SOAP,2,0,0,2
Cisco ISE,2,0,0,2
OpenStack + Kubernetes + GitOps,0,2,0,2
zapier,2,0,0,2
Fusion ERP or CRM implementation experience or SQL,0,1,0,1
Fusion HCM or Recruiting solutions,0,1,0,1
GBTEC BIC GRC,1,0,0,1
GHE,1,0,0,1
GIGYA,1,0,0,1
GIT / TFVC​,1,0,0,1
GIT/Bitbucket,1,0,0,1
GIT/Github verziókezelő,0,1,0,1
GPS system,1,0,0,1
GPU,0,1,0,1
GPU (CUDA),0,1,0,1
GRAFANA,0,1,0,1
GRAPHAPI,0,1,0,1
GSAP,1,0,0,1
Galera cluster,1,0,0,1
Gateway-ov,1,0,0,1
Gauge,1,0,0,1
Gearset,1,0,0,1
Gemini CLI,1,0,0,1
Gemini),1,0,0,1
GenAI (ChatGPT,1,0,0,1
Genesys,1,0,0,1
GeoServer,1,0,0,1
Giltlab,0,1,0,1
Git (GitHub,1,0,0,1
Git (GitLab),1,0,0,1
Git API,0,1,0,1
Git Flow,1,0,0,1
Git workflow,1,0,0,1
Git-based CI/CD pipelines,1,0,0,1
Git-ops pipeline-ok,0,1,0,1
Git/Bitbucket,1,0,0,1
Git/GitLab CI,1,0,0,1
Git/Github,1,0,0,1
Git/Jira/Confluence,1,0,0,1
Git: Advanced,1,0,0,1
Git: Expert,1,0,0,1
GitHub + workflows,1,0,0,1
GitHub / GitLab,1,0,0,1
GitHub Actions or GitLab CI/CD,1,0,0,1
GitHub Actions or GitLab CI/CD),1,0,0,1
GitHub Actions-based pipelines,1,0,0,1
GitHub CI,1,0,0,1
GitHub CoPilot,1,0,0,1
GitHub Copilot),1,0,0,1
GitHub Enterprise,1,0,0,1
GitHub Packages,0,1,0,1
GitHub workflows,1,0,0,1
GitHub/GitLab,0,1,0,1
GitLab / GitHub,1,0,0,1
GitLab CI pipeline,1,0,0,1
GitLab CI/Jenkins,1,0,0,1
GitLab Runner,1,0,0,1
GitLab Runners for CI,1,0,0,1
GitLab pipeline,0,1,0,1
GitLab),1,0,0,1
GitLab/Sonatype Nexus,1,0,0,1
GitOps (Argo CD),1,0,0,1
GitOps (ArgoCD),1,0,0,1
GitOps-based continuous deployment,1,0,0,1
Github Copilot,1,0,0,1
Gitlab CI/CD Pipelines,1,0,0,1
Gitlab jobs,1,0,0,1
Gitlab-ci,0,1,0,1
Gitlab/Github,1,0,0,1
Gitlab/Jenkins (CI/CD),1,0,0,1
Gmail,0,1,0,1
Go programming language,1,0,0,1
GoCD,1,0,0,1
Golden Docker-image-ek,0,1,0,1
Google AI Studio,0,1,0,1
Google Analytics / GA4,1,0,0,1
Google Analytics / Tag Manager,1,0,0,1
Google Analytics),0,0,1,1
Google Antigravity,1,0,0,1
Google App Script,0,1,0,1
Google Apps,1,0,0,1
Google Cloud Platform (GCP) services such as App engine,1,0,0,1
Google Cloud Storage,1,0,0,1
Google Gemini,1,0,0,1
Google Keyword tools,1,0,0,1
Google Looker Studio,1,0,0,1
Google Meet,1,0,0,1
Google OAuth2 / Cloud Identity,1,0,0,1
Google Services GCM,1,0,0,1
Google Sheet,1,0,0,1
Google Spanner,1,0,0,1
Google Tests,1,0,0,1
Google VPC,0,1,0,1
Google Vertex AI,1,0,0,1
Google analytics,1,0,0,1
Google sheets,1,0,0,1
Google sheets: Advanced,1,0,0,1
Google tag manager,1,0,0,1
Google+,0,1,0,1
GoogleCloud,0,1,0,1
Grafana),1,0,0,1
Grafana/Kibana,1,0,0,1
Grafana/Power BI,1,0,0,1
Grafana/ReportPortal Kibana,1,0,0,1
Grafikprogramme,0,0,1,1
GraphQL API,0,1,0,1
Graphite,1,0,0,1
Greenhouse,0,1,0,1
Grok,1,0,0,1
Group Policies and Active Directory),1,0,0,1
HA Proxy,1,0,0,1
HALO,1,0,0,1
HAProxy,1,0,0,1
HARDWARE AGILE,0,1,0,1
HARDWARE C,0,1,0,1
HARDWARE DEVOPS NETWORK,0,1,0,1
HARDWARE ECLIPSE,0,1,0,1
HARDWARE NETWORK SECURITY,0,1,0,1
HARDWARE R SECURITY,0,1,0,1
HARDWARE TROUBLESHOOTING,0,1,0,1
HARDWARE. NETWORK,0,1,0,1
HBase,0,0,1,1
HCL Commerce,1,0,0,1
HDFS,1,0,0,1
HELIOS iNuvio,1,0,0,1
HELM,1,0,0,1
HFM,1,0,0,1
HL7,1,0,0,1
HLSL,1,0,0,1
HMC console,1,0,0,1
HMI TESTING SECURITY ISO,0,1,0,1
HMI design,1,0,0,1
HP CONFLUENCE,0,1,0,1
HPE DL,1,0,0,1
HPE Hardware Automation,1,0,0,1
HPSM…,1,0,0,1
HR,0,1,0,1
HSM (Hardware Security Module),1,0,0,1
HSRP,1,0,0,1
HTML & CSS,1,0,0,1
HTML 5,1,0,0,1
HTML/CSS,1,0,0,1
HTML5 and CSS3,1,0,0,1
HTTP,1,0,0,1
HTTPD,1,0,0,1
HTTPS,0,0,1,1
HUGO,1,0,0,1
HW and server knowledge,1,0,0,1
Habitat,0,1,0,1
Hadoop/HDFS/Kafka,1,0,0,1
Hamina,1,0,0,1
Hardhat,1,0,0,1
Hardware Security Modules (HSM),0,0,1,1
HashiCorp Vault,1,0,0,1
Hashicorp Vault,1,0,0,1
Heavy.AI,1,0,0,1
HeavyAI,1,0,0,1
Helios ERP,1,0,0,1
Helm-chartok,0,1,0,1
Heroku platform,1,0,0,1
Hibernate/JPA,1,0,0,1
Highcharts,1,0,0,1
Hikvision,1,0,0,1
Hilt,1,0,0,1
Huawei,1,0,0,1
Huawei OceanStor,1,0,0,1
Huawei and TP-Link devices,1,0,0,1
HuggingFace Transformers,1,0,0,1
Humanitec,1,0,0,1
Hybris,1,0,0,1
IAM / Keycloak,1,0,0,1
IBM AIX,1,0,0,1
IBM App Connect,0,1,0,1
IBM BAMOE,1,0,0,1
IBM Concert,1,0,0,1
IBM Infosphere for data integration,1,0,0,1
IBM MQ,1,0,0,1
IBM MaaS360,0,1,0,1
IBM Power,1,0,0,1
IBM Process Mining,1,0,0,1
IBM Rational DOORS,1,0,0,1
IBM Spectrum Scale/GPFS),0,1,0,1
IBM Sterling B2B Integrator,1,0,0,1
IBM Sterling File Gateway,1,0,0,1
IBM Storage Protect (TSM),0,0,1,1
IBM Tririga,0,1,0,1
IBM WebSphere application server,1,0,0,1
IBM i (AS400),1,0,0,1
IBM mainframe,1,0,0,1
ICEFaces,1,0,0,1
IDE,1,0,0,1
IDE (VS Code,1,0,0,1
IDEX,1,0,0,1
IDEXGE (výmena dát),1,0,0,1
IDS,1,0,0,1
IFC,1,0,0,1
IFRS17,1,0,0,1
IFS,1,0,0,1
IFS ERP system,0,0,1,1
IIS hosting,1,0,0,1
IIS),1,0,0,1
INTUNE,0,1,0,1
IO-Link,1,0,0,1
IOS CONFLUENCE,0,1,0,1
IOS SECURITY,0,1,0,1
IP,1,0,0,1
IP TELEFONIA,1,0,0,1
IPA,0,0,1,1
IPAM,1,0,0,1
IPAS,1,0,0,1
IPS/IDS,1,0,0,1
IPsec and SSL VPNs,1,0,0,1
IPv4,1,0,0,1
ISIS,1,0,0,1
ISO 27001 Lead Implementer,0,1,0,1
ISO 31000 Risk Management,0,1,0,1
ISO 9001,0,1,0,1
ISO LEAN,0,1,0,1
ISO NETWORK,0,1,0,1
ISO NIS2,0,1,0,1
ISO SECURITY,0,1,0,1
ISO SECURITY PROJECT MANAGEMENT PMP,0,1,0,1
ISO SECURITY. MACHINE LEARNING,0,1,0,1
ISO TESTING,0,1,0,1
ISO/IEC 27001,0,1,0,1
ISTQB principles,0,1,0,1
IT,0,1,0,1
IT BIZTONSÁG,0,1,0,1
IT Service Management (ITIL princípy),1,0,0,1
ITIL V4 Foundation – Intermediate level,1,0,0,1
ITIL framework,1,0,0,1
ITIL frameworks,1,0,0,1
ITMS21+,1,0,0,1
ITSM a ticketing nástroje (ServiceNow,1,0,0,1
ITSM modul,1,0,0,1
ITSM-Tool,1,0,0,1
IaC,1,0,0,1
IaC tools,1,0,0,1
IaaC solutions like CloudFormation and Terraform,1,0,0,1
IaaS AWS CloudFormation,1,0,0,1
Icinga,1,0,0,1
Icinga2,1,0,0,1
Identity & Access Management (IAM),1,0,0,1
Identity and Access Management (IAM),1,0,0,1
Ignition SCADA,0,1,0,1
Ignition SCADA rendszer,0,1,0,1
Ignition SCADA software,0,1,0,1
Illustrator,1,0,0,1
Illustrator),1,0,0,1
Implico,0,1,0,1
InDesign),1,0,0,1
InVision,0,1,0,1
Incident,1,0,0,1
Inertia,1,0,0,1
InfinityQS,1,0,0,1
Influx,1,0,0,1
InfluxDB,1,0,0,1
Informačná bezpečnosť (ISO 27001),1,0,0,1
Informix,1,0,0,1
Infrastructure as Code (IaC) principles,1,0,0,1
Infrastructure as Code tools,1,0,0,1
Infrastructure as a code (IaC),1,0,0,1
Ingress,1,0,0,1
Inphinity Forms,1,0,0,1
Insight,1,0,0,1
Insight Confluence,1,0,0,1
Instana,1,0,0,1
Integration tools (n8n,1,0,0,1
IntegrationHub,0,1,0,1
Integračné štandardy pre REST a SOAP (Swagger,1,0,0,1
IntelliJ IDEA Ultimate,1,0,0,1
IntelliJ IDEA/Aqua,1,0,0,1
Intellij,1,0,0,1
Intercom,1,0,0,1
Interface Builder,0,0,1,1
Internet,1,0,0,1
Internet (e-mail,1,0,0,1
Intrusion Detection Systems (IDS),1,0,0,1
Intrusion Prevention Systems (IPS),1,0,0,1
Intune Endpoint management,1,0,0,1
Intune),1,0,0,1
Invicti,1,0,0,1
Ionic and Capacitor combined with Cordova,1,0,0,1
Isolated execution environments,0,1,0,1
Ivanti,0,1,0,1
Ivanti EPM,1,0,0,1
J-Component,1,0,0,1
J2EE,1,0,0,1
JAMF,1,0,0,1
JAMF Pro,0,1,0,1
JAVA ERP,0,1,0,1
JAVA SPRING C,0,1,0,1
JAVA SPRING GIT API TESTING POSTMAN SQL DOCKER AWS TEST AUTOMATION CUCUMBER REST INTELLIJ,0,1,0,1
JAVA SPRING JUNIT TESTING SQL GIT JSON XML DOCKER DEVOPS UML FRONTEND REACT WORD AGILE CLEAN CODE MAVEN JENKINS CI SCRUM KANBAN BPMN,0,1,0,1
JAVA Springboot,1,0,0,1
JAVA TEST AUTOMATION,0,1,0,1
JAVA TESTING,0,1,0,1
JAVA/JEE,0,1,0,1
JAVASCRIPT DEVOPS @SAP. AGILE,0,1,0,1
JAX-WS,1,0,0,1
JAXB,1,0,0,1
JBPM,1,0,0,1
JBoss / WildFly,0,1,0,1
JFrog,0,1,0,1
JFrog Artifactory,1,0,0,1
JIRA Align,1,0,0,1
JIRA CLOUD,0,1,0,1
JIRA Product Discovery,1,0,0,1
JMIX reporting,0,1,0,1
JPA / Hibernate,1,0,0,1
JQUERY,0,1,0,1
JQuery,0,1,0,1
JS,1,0,0,1
JS Front-end UI component libraries (Vue,1,0,0,1
JSON RPC,1,0,0,1
JSON),1,0,0,1
JSON-LD,0,1,0,1
JSON-RPC,1,0,0,1
JSON/XML,1,0,0,1
JSON:API,1,0,0,1
JSP,1,0,0,1
JUPITER,0,1,0,1
JUnit 5,1,0,0,1
JUnit for ViewModels and repositories,1,0,0,1
JVM runtime,1,0,0,1
Jablotron,1,0,0,1
Jakarta EE/Spring,1,0,0,1
Jamf,1,0,0,1
Jasmine (JavaScript testing framework),1,0,0,1
Jasper Reports,1,0,0,1
Java (Spring Boot),1,0,0,1
Java 17+,1,0,0,1
Java EE,0,1,0,1
Java JDBC,1,0,0,1
Java-based automation frameworks,1,0,0,1
JavaFX,1,0,0,1
JavaScript/TypeScript,1,0,0,1
Javascript),1,0,0,1
Jedox,0,1,0,1
Jenkins (pipelines/groovy),1,0,0,1
Jenkins / GitLab: Advanced,1,0,0,1
Jenkins CI/CD,1,0,0,1
Jenkins nebo GitLab),1,0,0,1
Jenkins/Azure,1,0,0,1
Jenkins/GitHub,1,0,0,1
Jenkins/GitLab,1,0,0,1
Jenkins/GitLab CI,1,0,0,1
Jenkins/Jira/Confluence,1,0,0,1
Jest),1,0,0,1
JetBrains Exposed,0,1,0,1
JetBrains IDEs,1,0,0,1
JetForms / Contact Form 7,1,0,0,1
Jetbrains Rider,0,1,0,1
Jetpack libraries,1,0,0,1
Jira / Confluence,1,0,0,1
Jira/Confluence,1,0,0,1
Jiru,1,0,0,1
Jmeter,0,1,0,1
Joomla,1,0,0,1
Journey Builder,0,1,0,1
Json,1,0,0,1
Juniper,0,0,1,1
Juniper MIST templates,1,0,0,1
Jupyter Notebooks,0,1,0,1
JustInMind,0,0,1,1
K2/Icefall,0,1,0,1
K6/JMeter,1,0,0,1
K8S: Advanced,1,0,0,1
KAFKA,1,0,0,1
KARAT,1,0,0,1
KMM,1,0,0,1
KNIME,1,0,0,1
KOKKOS,0,1,0,1
Kaa,1,0,0,1
Kafka / Artemis MQ,1,0,0,1
Kafka Connect,1,0,0,1
Kafka/Eventstream,1,0,0,1
Kaldi,0,1,0,1
Kaltura,1,0,0,1
Karat,1,0,0,1
Katalon,0,0,1,1
Kdb+,1,0,0,1
Keboole,1,0,0,1
Kerio,1,0,0,1
Key Vault,1,0,0,1
KeyDB,1,0,0,1
Keycloak/RH SSO,1,0,0,1
Keyence,0,1,0,1
Kimball,1,0,0,1
Kinesis,1,0,0,1
Kite/Vidra,1,0,0,1
Kiwi,1,0,0,1
Klaviyo,1,0,0,1
Kling,1,0,0,1
Knot,1,0,0,1
Koha,1,0,0,1
Koin,1,0,0,1
Kolaboračné nástroje (MS Teams,1,0,0,1
Konfigurácia siete - Mierne pokročilý,1,0,0,1
Kong Gateway,1,0,0,1
Kraken,0,1,0,1
Kubernetes (AKS),1,0,0,1
Kubernetes (K8S),1,0,0,1
Kubernetes (K8s),1,0,0,1
Kubernetes (or similar) container-based technologies,1,0,0,1
Kubernetes / OpenShift: Advanced,1,0,0,1
Kubernetes cluster technology,0,1,0,1
Kubernetes ecosystem experience,1,0,0,1
Kustomize,1,0,0,1
Kyano Manage (Outboard and Datafridge component),1,0,0,1
Kyberbezpečnostné monitorovacie systémy,1,0,0,1
Kyriba,0,1,0,1
Kódminőség és statikus kódelemzés (pl. SonarQube),0,1,0,1
LAMP,0,1,0,1
LAMP/LEMP (PHP 8,1,0,0,1
LAN infrastructure,1,0,0,1
LAPTOP,0,1,0,1
LB),1,0,0,1
LDAP/OpenLDAP,1,0,0,1
LEAN AGILE,0,1,0,1
LGTM stack,1,0,0,1
LI CRM,1,0,0,1
LINUX TEST AUTOMATION,0,1,0,1
LINUX UNIX,0,1,0,1
LKW control X,1,0,0,1
LLM API (Claude,0,0,1,1
LLM framework (LangChain,1,0,0,1
LLM frameworks,0,1,0,1
LLM prompt engineering,1,0,0,1
LLVM tools (BOLT,0,1,0,1
LMS Moodle,1,0,0,1
LPARov,1,0,0,1
LTFS/backup apps,1,0,0,1
LTFS/enterprise backup suites,1,0,0,1
LTO generations,1,0,0,1
LVM,0,0,1,1
LWC,1,0,0,1
Lab View,0,1,0,1
LabView,1,0,0,1
Lambda),1,0,0,1
Lambdas,1,0,0,1
Lambdas & Containers,1,0,0,1
LangChain/LlamaIndex,1,0,0,1
LangSmith,1,0,0,1
Langchain,1,0,0,1
Lansweeper,1,0,0,1
Laravel 11+,1,0,0,1
Laravel Nova 4,1,0,0,1
Launchpad,1,0,0,1
Lauterbach Embedded Trace and debugger,0,1,0,1
Leaflet,1,0,0,1
Legacy System Migration Workbench (LSMW),1,0,0,1
Lenovo TVT tools,1,0,0,1
Lightning,0,0,1,1
Linear,0,1,0,1
Linked Open Data (LOD),0,1,0,1
Linode,1,0,0,1
Linq2DB,0,1,0,1
Linux (Red Hat,1,0,0,1
Linux (RedHat),1,0,0,1
Linux (command line),1,0,0,1
Linux CLI,1,0,0,1
Linux RTOS,1,0,0,1
Linux Server,1,0,0,1
Linux command line tools,1,0,0,1
Linux operating systems,1,0,0,1
Linux performance tools,0,1,0,1
Linux servers (Debian,1,0,0,1
Linux system administration - RHEL - HAProxy,1,0,0,1
Linux szerver adminisztrálás,0,1,0,1
Linux terminal,1,0,0,1
Linux-alapú pipeline agent-ekkel,0,1,0,1
Linux/Unix command line,1,0,0,1
LinuxFromScratch (LFS) OS,0,1,0,1
Liquid,1,0,0,1
Lison,1,0,0,1
Lists,0,0,1,1
Litmus,1,0,0,1
Loadbalancer,1,0,0,1
Lobster,0,0,1,1
Locust,1,0,0,1
Logic Apps,1,0,0,1
Logic apps,1,0,0,1
Logis,1,0,0,1
Logitech,1,0,0,1
Loki & Grafana stack / ELK,1,0,0,1
Lookback,0,1,0,1
Looker/Sigma,0,1,0,1
Low-Code tools,0,1,0,1
Low-code programming tools,1,0,0,1
Lua,1,0,0,1
Luma,1,0,0,1
M (Power Query Formula Language),1,0,0,1
M&As,0,1,0,1
M-Files,0,0,1,1
M365 ecosystem,0,1,0,1
MACHINE LEARNING ANALYTICS,0,1,0,1
MACHINE LEARNING API SECURITY CLOUD DOCKER,0,1,0,1
MACom,1,0,0,1
MCP,1,0,0,1
MCP BI nástroje (Metabase,1,0,0,1
MCPs,0,1,0,1
MDB,1,0,0,1
MDM software,0,0,1,1
MDM strategies,0,1,0,1
MDM via Intune and Apple Business Manager,1,0,0,1
MES,0,1,0,1
MES (Manufacturing Execution System),1,0,0,1
MES Systems,1,0,0,1
MES system,1,0,0,1
MES systém,1,0,0,1
MICROSOFT,1,0,0,1
MIDDLEWARE C,0,1,0,1
MIRAKL,1,0,0,1
MLOps,0,1,0,1
MONACO,1,0,0,1
MPLS,1,0,0,1
MQ/Kafka,0,1,0,1
MS 365 Backup,1,0,0,1
MS Azure DevOps,1,0,0,1
MS Bot Framework,1,0,0,1
MS Copilot Studio,0,1,0,1
MS D365,1,0,0,1
MS Defender,1,0,0,1
MS Dynamics,0,1,0,1
MS Dynamics CRM,0,0,1,1
MS Entra ID,1,0,0,1
MS Excel / Google Sheet,1,0,0,1
MS Exel,1,0,0,1
MS Fabric,1,0,0,1
MS Forms,1,0,0,1
MS Hubdrive,1,0,0,1
MS Intune,1,0,0,1
MS OFFICE R,0,1,0,1
MS Office (Excel - pokročilý),1,0,0,1
MS Office (Excel),1,0,0,1
MS Office (Office 365) products like Excel,1,0,0,1
MS Office (Outlook,1,0,0,1
MS Office (PowerPoint,1,0,0,1
MS Office (especially Excel) and BI tools,1,0,0,1
MS Office - advanced (MS Excel - necessary),1,0,0,1
MS Office - pokročilý,1,0,0,1
MS Office / O365,1,0,0,1
MS Office 365 based services (Outlook,1,0,0,1
MS Office Excel,1,0,0,1
MS Office Suite,1,0,0,1
MS Office applications,1,0,0,1
MS Office applications (Excel,0,0,1,1
MS Office package,1,0,0,1
MS Office programs,0,1,0,1
MS Office tools (Excel & Powerpoint),1,0,0,1
MS Office tools (especially Excel,1,0,0,1
MS Office+Teams,1,0,0,1
MS Office/O365,0,1,0,1
MS Outlook),1,0,0,1
MS Power Automate,1,0,0,1
MS PowerBi,1,0,0,1
MS PowerPlatform (Power Automate,1,0,0,1
MS SQL server,1,0,0,1
MS SQL server development,1,0,0,1
MS SQL-Server,0,0,1,1
MS Sentinel,1,0,0,1
MS Servers,1,0,0,1
MS Sharepoint,1,0,0,1
MS TEAMS,1,0,0,1
MS Visio/Miro,0,1,0,1
MS Windows Server 2019,1,0,0,1
MS Word,1,0,0,1
MS-Office (Excel,1,0,0,1
MS-Windows,1,0,0,1
MS365),0,1,0,1
MSBI tools like SSIS & SSAS,1,0,0,1
MSBuild,0,1,0,1
MSSQL Server,1,0,0,1
MSSQL databases,1,0,0,1
MUI,1,0,0,1
MVC architecture,1,0,0,1
MVC frameworks,0,1,0,1
MVVM architecture,1,0,0,1
MWAA,0,1,0,1
Mac OS X: Advantage,1,0,0,1
MacBook,0,1,0,1
Machine learning and data science,1,0,0,1
Mailchimp,1,0,0,1
Mailový systém - MS Exchange a Office365,1,0,0,1
Make a pod.),1,0,0,1
Makrók,0,1,0,1
Manhattan,1,0,0,1
Manufacturing data domains,0,1,0,1
Mapbox,1,0,0,1
Mapp (Webtrekk),1,0,0,1
Mapstruct,1,0,0,1
MariaDB),1,0,0,1
Markdown,1,0,0,1
Marketing Cloud,1,0,0,1
MasterCam,1,0,0,1
Material Master Data,1,0,0,1
Material UI (MUI),1,0,0,1
Material-UI,1,0,0,1
Maven / Gradle,1,0,0,1
Maven build tools,1,0,0,1
Maven or Gradle,1,0,0,1
Maven/Ant,1,0,0,1
Medea,1,0,0,1
Media Office,1,0,0,1
MediatR,1,0,0,1
Mendix low-code platform,0,1,0,1
Meraki,1,0,0,1
Meraki Dashboard,1,0,0,1
Mergin Maps,1,0,0,1
Mermaid,1,0,0,1
Messaging queues,1,0,0,1
